⇨🇳｜百视高清,#genre#

CCTV1 8M, https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M, https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3 8M, https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4 8M, https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV-4K, https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
CCTV5 8M, https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5+ 8M, https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M, https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M, https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M, https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12 8M,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV16-4K, https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
CCTV17 8M,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
欢乐剧场4k,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000
江苏卫视8M,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
广西卫视8M,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000
四川卫视8M,https://live.v1.mk/api/bestv.php?id=scwshd/8000000
湖南卫视8M,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视8M,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
东方卫视8M,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
北京卫视8M,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
天津卫视8M,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视8M,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
安徽卫视8M,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视8M,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
广东卫视8M,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
深圳卫视8M,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000
湖北卫视8M,https://live.v1.mk/api/bestv.php?id=hubeiws8m/8000000
吉林卫视8M,https://live.v1.mk/api/bestv.php?id=jlwshd8m/8000000
山东卫视8M,https://live.v1.mk/api/bestv.php?id=sdws8m/8000000
江西卫视8M,https://live.v1.mk/api/bestv.php?id=jxws8m/8000000
河南卫视8M,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000
河北卫视8M,https://live.v1.mk/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视8M,https://live.v1.mk/api/bestv.php?id=gswshd8m/8000000
重庆卫视8M,https://live.v1.mk/api/bestv.php?id=cqws8m/8000000
东南卫视8M,https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000
云南卫视8M,https://live.v1.mk/api/bestv.php?id=ynwshd8m/8000000
贵州卫视8M,https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000
海南卫视8M,https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000
欢乐剧场8M,https://live.v1.mk/api/bestv.php?id=hxjc8m/8000000
劲爆体育8M,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000
快乐垂钓8M,https://live.v1.mk/api/bestv.php?id=klcd8m/8000000
金鹰纪实8M,https://live.v1.mk/api/bestv.php?id=jyjs8m/8000000
戏曲精选8M,https://live.v1.mk/api/bestv.php?id=xqjx8m/8000000
上海第一财经8M,https://live.v1.mk/api/bestv.php?id=dycjhd8m/8000000
上视新闻8M,https://live.v1.mk/api/bestv.php?id=xwzhhd8m/8000000
上海都市8M,https://live.v1.mk/api/bestv.php?id=dshd8m/8000000
上海纪实8M,https://live.v1.mk/api/bestv.php?id=jspdhd/4000000
东方影视8M,https://live.v1.mk/api/bestv.php?id=dfyshd8m/8000000
五星体育 8M,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
上视外语8M,https://live.v1.mk/api/bestv.php?id=icshd8m/8000000
七彩戏8M,https://live.v1.mk/api/bestv.php?id=qcxjhd8m/8000000
上海教育8M,https://live.v1.mk/api/bestv.php?id=setvhd/8000000
全程8M,https://live.v1.mk/api/bestv.php?id=qjshd8m/8000000
生活时尚8M,https://live.v1.mk/api/bestv.php?id=shss8m​​/8000000
新视觉8M,https://live.v1.mk/api/bestv.php?id=xsjhd8m/8000000
游戏风云8M,https://live.v1.mk/api/bestv.php?id=yxfy8m/8000000
热门综艺8M,https://live.v1.mk/api/bestv.php?id=rmzy8m/8000000
超级体育8M,https://live.v1.mk/api/bestv.php?id=qcsj8m/8000000
健康养生8M,https://live.v1.mk/api/bestv.php?id=jkys8m/8000000
百变课堂8M,https://live.v1.mk/api/bestv.php?id=bbkt8m/8000000
看天下精​​选8M,https://live.v1.mk/api/bestv.php?id=ktxjx8m/8000000
华语影院8M,https://live.v1.mk/api/bestv.php?id=hyyy8m/8000000
电竞天堂8M,https://live.v1.mk/api/bestv.php?id=djtt8m/8000000
青春动画8M,https://live.v1.mk/api/bestv.php?id=qcdm8m/8000000
宝贝动画8M,https://live.v1.mk/api/bestv.php?id=bbdh8m/8000000
星光影院8M,https://live.v1.mk/api/bestv.php?id=xgyy8m/8000000
䰍战剧场8M,https://live.v1.mk/api/bestv.php?id=dzjc8m/8000000
全球影视8M,https://live.v1.mk/api/bestv.php?id=qqdp8m/8000000
热门剧场8M,https://live.v1.mk/api/bestv.php?id=rmjc8m/8000000
陶瓷高清8M,https://live.v1.mk/api/bestv.php?id=taocihd/8000000
中国教育-1 8M,https://live.v1.mk/api/bestv.php?id=zgjy1t8m/8000000
中国教育-4 8M,https://live.v1.mk/api/bestv.php?id=zgjy4hd8m/8000000
卡酷少​​儿8M,https://live.v1.mk/api/bestv.php?id=kkse8m/8000000
纪实科教8M,https://live.v1.mk/api/bestv.php?id=dajs8m/8000000
茶频道8M,https://live.v1.mk/api/bestv.php?id=cpdhdavs8m/8000000
足球高清8M,https://live.v1.mk/api/bestv.php?id=zqpd8m/8000000
炫动卡通8M,https://live.v1.mk/api/bestv.php?id=hhxd8m/8000000
东方财经8M,https://live.v1.mk/api/bestv.php?id=dfcjhd8m/8000000
都市剧场8M,https://live.v1.mk/api/bestv.php?id=dsjc8m/8000000
动画秀场8M,https://live.v1.mk/api/bestv.php?id=dmxc8m/8000000
法治天地8M,https://live.v1.mk/api/bestv.php?id=fztd8m/8000000
金色学堂8M,https://live.v1.mk/api/bestv.php?id=jingsepd8m/8000000
魅力足球8M,https://live.v1.mk/api/bestv.php?id=mlyyhd8m/8000000

⇨🇳｜央视--8K,#genre#
CCTV-1高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-2高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV-3高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV-4高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
CCTV-5高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV-6高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV-7高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV-8高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV-9高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV-10高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
